Aries,
17573,12929
12929,11636
11636,11502
Taurus,
37202,29139
29139,28319
28319,27371
27371,27697
27697,28305
28305,35497
27371,25204
Gemini,
48737,47105
47105,52973
52973,56986
56986,62509
62509,60179
60179,48329
48329,44478
44478,45542
Cancer,
74739,74198
74198,74442
74442,76756
74442,69267
Leo,
84441,85503
85503,89025
89025,89484
89484,87737
87737,87901
87901,97633
97633,102647
102647,97603
Virgo,
130109,122408
122408,118098
118098,116658
116658,124294
124294,124850
124850,129502
118098,112300
112300,113226
116658,114330
114330,110379
110379,112300
110379,107259
107259,102870
Libra,
142198,140417
140417,138905
138905,135742
135742,130841
130841,133216
133216,139063
139063,139365
135742,133216
Scorpius,
158408,158926
158926,160578
160578,161471
161471,159532
159532,155203
155203,152334
152334,151890
151890,151680
151680,149438
149438,148478
148478,147165
147165,143275
143275,144217
144217,145502
143275,143018
143018,142669
Sagittarius,
177716,175191
175191,173300
173300,176687
176687,177716
173300,169916
169916,168454
168454,169022
169022,176687
168454,169022
169022,165135
Capricornus,
193495,197692
197692,198542
198542,204075
204075,205637
205637,207098
207098,206088
206088,203387
203387,200761
200761,193495
Aquarius,
198001,198743
198743,204867
204867,209750
209750,211391
211391,209819
209750,212061
212061,213051
213051,213998
213998,219215
219215,216386
216386,216032
216032,216627
Pisces,
7106,7964
7964,7318
7318,9270
9270,10761
10761,12446
12446,10380
10380,9138
9138,6186
6186,4656
4656,224617
224617,222368
222368,220954
220954,219615
219615,220825
220825,222603
222603,222368
Uraa Minor,
8890,166205
166205,153751
153751,142105
142105,131873
131873,137422
137422,148048
148048,142105
Ursa Major,
120315,116656
116656,112185
112185,106591
106591,103287
103287,95418
95418,95689
95689,106591
Draco,
100029,109387
109387,123299
123299,137759
137759,144284
144284,148387
148387,155763
155763,162003
162003,170153
170153,181984
181984,188119
188119,180711
180711,163588
163588,159560
159560,159181
159181,164058
164058,163588
Cepheus,
203280,205021
205021,222404
222404,216228
216228,210745
210745,203280
Cassiopeia,
432,3712
3712,5394
5394,8538
8538,11415
Andromeda,
9927,5448
5448,3369
3369,358
358,3627
3627,6860
6860,12533
Auriga,
35497,40312
40312,40183
40183,34029
34029,31964
31964,32630
32630,31398
31398,35497
Bootes,
120477,120136
120136,121370
121370,124897
124897,127665
127665,127762
127762,133208
133208,135722
135722,129988
129988,124897
Centaurus,
128620,118716
118716,122451
118716,121263
121263,120324
120324,120307
120307,127972
127972,132200
123139,120307
120307,117440
117440,115892
118716,110304
110304,108483
108483,105435
105435,105937
105937,98718
98718,100261
Cygnus,
197345,194093
194093,188947
188947,183912
197989,194093
194093,186882
Hercules,
156014,148856
148856,147547
148856,150680
150680,153808
153808,156164
156164,158899
158899,161797
161797,163993
163993,166014
153808,156283
156283,157778
157778,163770
163770,160762
156283,150997
150997,149630
149630,147394
147394,145389
150997,150680
Hydra,
123123,115659
115659,103192
103192,100407
100407,93813
93813,90432
90432,88284
88284,85444
85444,81797
81797,83618
83618,79469
79469,76294
76294,74874
74874,73262
73262,73471
73471,74280
74280,76294
Lyra,
172167,173648
173648,175588
175588,176437
176437,174638
174638,173648
Orion,
41117,42560
42560,40932
40932,39801
39801,36861
36861,35468
35468,36486
36486,34085
34085,38771
38771,37742
37742,39801
35468,30652
31295,30739
30739,30652
30652,30836
30836,31237
31237,31767
Pegasus,
358,217906
217906,218045
218045,886
886,358
Perseus,
10516,17506
17506,18925
18925,20902
20902,22928
22928,24760
24760,24912
24912,24398
24398,23180
20902,19476
19476,19356
19356,19058
Triangulum,
11443,13161
13161,14055
ENDOFFILE,
